"StructureDefinition", "path", "sliceName", "types", "bindingStrength", "bindingValueSet"
"us-core-diagnosticreport-lab", "DiagnosticReport.code", "null", "", "extensible", "http://hl7.org/fhir/us/core/ValueSet/us-core-laboratory-test-codes"
"us-core-body-temperature", "Observation.valueQuantity.code", "null", "code", "required", "http://hl7.org/fhir/ValueSet/ucum-bodytemp|4.0.1"
"us-core-observation-sexual-orientation", "Observation.status", "null", "", "required", "http://hl7.org/fhir/ValueSet/observation-status"
"us-core-observation-sexual-orientation", "Observation.valueCodeableConcept", "null", "", "extensible", "http://hl7.org/fhir/us/core/ValueSet/us-core-sexual-orientation"
"us-core-encounter", "Encounter.type", "null", "", "extensible", "http://hl7.org/fhir/us/core/ValueSet/us-core-encounter-type"
"us-core-encounter", "Encounter.hospitalization.dischargeDisposition", "null", "", "preferred", "http://hl7.org/fhir/us/core/ValueSet/us-core-discharge-disposition"
"us-core-jurisdiction", "Extension.value[x]", "null", "CodeableConcept", "extensible", "http://hl7.org/fhir/us/core/ValueSet/us-core-usps-state"
"us-core-genderIdentity", "Extension.value[x]", "null", "CodeableConcept", "extensible", "http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1021.32"
"us-core-simple-observation", "Observation.category", "us-core", "", "required", "http://hl7.org/fhir/us/core/ValueSet/us-core-simple-observation-category"
"us-core-immunization", "Immunization.status", "null", "", "required", "http://hl7.org/fhir/ValueSet/immunization-status"
"us-core-immunization", "Immunization.statusReason", "null", "", "example", "http://hl7.org/fhir/ValueSet/immunization-status-reason"
"us-core-immunization", "Immunization.vaccineCode", "null", "", "extensible", "http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1010.6"
"us-core-diagnosticreport-note", "DiagnosticReport.status", "null", "", "required", "http://hl7.org/fhir/ValueSet/diagnostic-report-status"
"us-core-diagnosticreport-note", "DiagnosticReport.category", "us-core", "", "required", "http://hl7.org/fhir/us/core/ValueSet/us-core-diagnosticreport-category"
"us-core-diagnosticreport-note", "DiagnosticReport.code", "null", "", "extensible", "http://hl7.org/fhir/us/core/ValueSet/us-core-diagnosticreport-report-and-note-codes"
"us-core-provenance", "Provenance.agent.type", "null", "", "extensible", "http://hl7.org/fhir/us/core/ValueSet/us-core-provenance-participant-type"
"us-core-observation-screening-assessment", "Observation.category", "screening-assessment", "", "required", "http://hl7.org/fhir/us/core/ValueSet/us-core-screening-assessment-observation-category"
"us-core-observation-screening-assessment", "Observation.code", "null", "", "preferred", "http://hl7.org/fhir/us/core/ValueSet/us-core-survey-codes"
"us-core-coverage", "Coverage.type", "null", "", "extensible", "http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.114222.4.11.3591"
"us-core-coverage", "Coverage.relationship", "null", "", "extensible", "http://hl7.org/fhir/ValueSet/subscriber-relationship"
"us-core-practitioner", "Practitioner.address.state", "null", "string", "extensible", "http://hl7.org/fhir/us/core/ValueSet/us-core-usps-state"
"us-core-head-circumference", "Observation.valueQuantity.code", "null", "code", "required", "http://hl7.org/fhir/ValueSet/ucum-bodylength|4.0.1"
"us-core-allergyintolerance", "AllergyIntolerance.clinicalStatus", "null", "", "required", "http://hl7.org/fhir/ValueSet/allergyintolerance-clinical"
"us-core-allergyintolerance", "AllergyIntolerance.verificationStatus", "null", "", "required", "http://hl7.org/fhir/ValueSet/allergyintolerance-verification"
"us-core-allergyintolerance", "AllergyIntolerance.code", "null", "", "extensible", "http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1186.8"
"us-core-allergyintolerance", "AllergyIntolerance.reaction.manifestation", "null", "", "extensible", "http://hl7.org/fhir/ValueSet/clinical-findings"
"us-core-body-height", "Observation.valueQuantity.code", "null", "code", "required", "http://hl7.org/fhir/ValueSet/ucum-bodylength|4.0.1"
"us-core-ethnicity", "Extension.extension.value[x]", "null", "Coding", "required", "http://hl7.org/fhir/us/core/ValueSet/omb-ethnicity-category"
"us-core-ethnicity", "Extension.extension.value[x]", "null", "Coding", "required", "http://hl7.org/fhir/us/core/ValueSet/detailed-ethnicity"
"us-core-birthsex", "Extension.value[x]", "null", "code", "required", "http://hl7.org/fhir/us/core/ValueSet/birthsex"
"us-core-observation-occupation", "Observation.valueCodeableConcept", "null", "CodeableConcept", "extensible", "http://phinvads.cdc.gov/fhir/ValueSet/2.16.840.1.114222.4.11.7901"
"us-core-observation-occupation", "Observation.component.valueCodeableConcept", "null", "CodeableConcept", "extensible", "http://phinvads.cdc.gov/fhir/ValueSet/2.16.840.1.114222.4.11.7900"
"us-core-goal", "Goal.lifecycleStatus", "null", "", "required", "http://hl7.org/fhir/ValueSet/goal-status"
"us-core-goal", "Goal.description", "null", "", "extensible", "http://hl7.org/fhir/us/core/ValueSet/us-core-goal-description"
"us-core-observation-pregnancyintent", "Observation.valueCodeableConcept", "null", "CodeableConcept", "extensible", "http://hl7.org/fhir/us/core/ValueSet/us-core-pregnancy-intent"
"us-core-location", "Location.address.state", "null", "string", "extensible", "http://hl7.org/fhir/us/core/ValueSet/us-core-usps-state"
"us-core-observation-lab", "Observation.code", "null", "", "extensible", "http://hl7.org/fhir/us/core/ValueSet/us-core-laboratory-test-codes"
"us-core-medicationrequest", "MedicationRequest.status", "null", "", "required", "http://hl7.org/fhir/ValueSet/medicationrequest-status"
"us-core-medicationrequest", "MedicationRequest.intent", "null", "", "required", "http://hl7.org/fhir/ValueSet/medicationrequest-intent"
"us-core-medicationrequest", "MedicationRequest.category", "us-core", "", "required", "http://hl7.org/fhir/ValueSet/medicationrequest-category"
"us-core-medicationrequest", "MedicationRequest.medication[x]", "null", "CodeableConcept;Reference", "extensible", "http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1010.4"
"us-core-medicationrequest", "MedicationRequest.reasonCode", "null", "", "extensible", "http://hl7.org/fhir/us/core/ValueSet/us-core-condition-code"
"us-core-medicationrequest", "MedicationRequest.dosageInstruction.doseAndRate.dose[x]", "null", "Quantity;Range", "preferred", "http://hl7.org/fhir/ValueSet/ucum-common"
"us-core-servicerequest", "ServiceRequest.category", "us-core", "", "required", "http://hl7.org/fhir/us/core/ValueSet/us-core-servicerequest-category"
"us-core-servicerequest", "ServiceRequest.code", "null", "", "extensible", "http://hl7.org/fhir/us/core/ValueSet/us-core-procedure-code"
"us-core-servicerequest", "ServiceRequest.reasonCode", "null", "", "extensible", "http://hl7.org/fhir/us/core/ValueSet/us-core-condition-code"
"us-core-careteam", "CareTeam.status", "null", "", "required", "http://hl7.org/fhir/ValueSet/care-team-status"
"us-core-careteam", "CareTeam.participant.role", "null", "", "extensible", "http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1099.30"
"us-core-body-weight", "Observation.valueQuantity.code", "null", "code", "required", "http://hl7.org/fhir/ValueSet/ucum-bodyweight|4.0.1"
"us-core-medication", "Medication.code", "null", "", "extensible", "http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1010.4"
