"id", "url", "version", "name", "title"
"quantity-comparator", "http://hl7.org/fhir/ValueSet/quantity-comparator", "4.0.1", "QuantityComparator", "QuantityComparator"
"referencerange-appliesto", "http://hl7.org/fhir/ValueSet/referencerange-appliesto", "4.0.1", "ObservationReferenceRangeAppliesToCodes", "Observation Reference Range Applies To Codes"
"referencerange-meaning", "http://hl7.org/fhir/ValueSet/referencerange-meaning", "4.0.1", "ObservationReferenceRangeMeaningCodes", "Observation Reference Range Meaning Codes"
"request-status", "http://hl7.org/fhir/ValueSet/request-status", "4.0.1", "RequestStatus", "RequestStatus"
"servicerequest-category", "http://hl7.org/fhir/ValueSet/servicerequest-category", "4.0.1", "ServiceRequestCategoryCodes", "Service Request Category Codes"
"simple-language", "http://hl7.org/fhir/us/core/ValueSet/simple-language", "6.1.0", "LanguageCodesWithLanguageAndOptionallyARegionModifier", "Language codes with language and optionally a region modifier"
"simple-observation", "http://hl7.org/fhir/us/core/ValueSet/simple-observation", "6.1.0", "USCoreSimpleObservationCodes", "US Core Simple Observation Codes"
"subscriber-relationship", "http://hl7.org/fhir/ValueSet/subscriber-relationship", "4.0.1", "SubscriberRelationshipCodes", "SubscriberPolicyholder Relationship Codes"
"ucum-bodylength", "http://hl7.org/fhir/ValueSet/ucum-bodylength", "4.0.1", "BodyLengthUnits", "Body Length Units"
"ucum-bodytemp", "http://hl7.org/fhir/ValueSet/ucum-bodytemp", "4.0.1", "BodyTemperatureUnits", "Body Temperature Units"
"ucum-bodyweight", "http://hl7.org/fhir/ValueSet/ucum-bodyweight", "4.0.1", "BodyWeightUnits", "Body Weight Units"
"ucum-common", "http://hl7.org/fhir/ValueSet/ucum-common", "4.0.1", "Common UCUM units", "null"
"ucum-vitals-common", "http://hl7.org/fhir/ValueSet/ucum-vitals-common", "4.0.1", "VitalSignsUnits", "Vital Signs Units"
"us-core-clinical-note-type", "http://hl7.org/fhir/us/core/ValueSet/us-core-clinical-note-type", "6.1.0", "USCoreClinicalNoteType", "US Core Clinical Note Type"
"us-core-clinical-result-observation-category", "http://hl7.org/fhir/us/core/ValueSet/us-core-clinical-result-observation-category", "6.1.0", "USCoreClinicalResultObservationCategory", "US Core Clinical Result Observation Category"
"us-core-condition-code", "http://hl7.org/fhir/us/core/ValueSet/us-core-condition-code", "6.1.0", "USCoreConditionCodes", "US Core Condition Codes"
"us-core-diagnosticreport-category", "http://hl7.org/fhir/us/core/ValueSet/us-core-diagnosticreport-category", "6.1.0", "USCoreDiagnosticReportCategory", "US Core Diagnostic Report Category Codes"
"us-core-diagnosticreport-report-and-note-codes", "http://hl7.org/fhir/us/core/ValueSet/us-core-diagnosticreport-report-and-note-codes", "6.1.0", "USCoreNonLaboratoryCodes", "US Core Non Laboratory Codes"
"us-core-discharge-disposition", "http://hl7.org/fhir/us/core/ValueSet/us-core-discharge-disposition", "6.1.0", "USCoreDischargeDisposition", "US Core Discharge Disposition"
"us-core-documentreference-category", "http://hl7.org/fhir/us/core/ValueSet/us-core-documentreference-category", "6.1.0", "USCoreDocumentReferenceCategory", "US Core DocumentReference Category"
"us-core-documentreference-type", "http://hl7.org/fhir/us/core/ValueSet/us-core-documentreference-type", "6.1.0", "USCoreDocumentReferenceType", "US Core DocumentReference Type"
"us-core-encounter-type", "http://hl7.org/fhir/us/core/ValueSet/us-core-encounter-type", "6.1.0", "USCoreEncounterType", "US Core Encounter Type"
"us-core-goal-description", "http://hl7.org/fhir/us/core/ValueSet/us-core-goal-description", "6.1.0", "USCoreGoalCodes", "US Core Goal Codes"
"us-core-laboratory-test-codes", "http://hl7.org/fhir/us/core/ValueSet/us-core-laboratory-test-codes", "6.1.0", "USCoreLaboratoryTestCodes", "US Core Laboratory Test Codes"
"us-core-narrative-status", "http://hl7.org/fhir/us/core/ValueSet/us-core-narrative-status", "6.1.0", "NarrativeStatus", "US Core Narrative Status"
"us-core-observation-smoking-status-status", "http://hl7.org/fhir/us/core/ValueSet/us-core-observation-smoking-status-status", "6.1.0", "USCoreObservationSmokingStatusStatus", "US Core Status for Smoking Status Observation"
"us-core-observation-smokingstatus-max", "http://hl7.org/fhir/us/core/ValueSet/us-core-observation-smokingstatus-max", "6.1.0", "USCoreSmokingStatusmaxValueSet", "US Core Smoking Status Max-Binding"
"us-core-observation-value-codes", "http://hl7.org/fhir/us/core/ValueSet/us-core-observation-value-codes", "6.1.0", "USCoreObservationValueCodes", "US Core Observation Value Codes (SNOMED-CT)"
